Proveedor,Texto breve material,CATEGORIA,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CDMX,MACROPAY CDMX CHEDRAUI TENAYUCA L6-7,1564,10,MD2B54DXXTCM95300,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CDMX,MACROPAY CHIMALHUACAN PLAZA L48,1301,10,MD2B54DX1TCM95315,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CDMX,MACROPAY NAUCALPAN ING MILITARES,1790,10,MD2B54DX8TCM95277,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CDMX,MACROPAY NEZAHUALCOYOTL SORIANA L15,1406,10,MD2B54DXXTCL87341,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CDMX,MACROPAY SAN G CUAUHTLA CARRETERA,1232,10,MD2B54DXXTCL87226,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CDMX,MACROPAY TEXMELUCAN CENTRO 2,1774,10,MD2B54DX7TCM95304,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CDMX,MACROPAY TLALNEPANTLA CENTRO,1902,10,MD2B54DX3TCM95302,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CDMX,MACROPAY TLALNEPANTLA ENCUENTRO L29,1400,10,MD2B54DX3TCM95297,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CDMX,MACROPAY TLALNEPANTLA ENCUENTRO L29,1400,10,MD2B54DX7TCM95299,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CULIACAN,MACROPAY DURANGO CENTRO,1865,10,MD2B54DX0TCL87316,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS CULIACAN,MACROPAY LOS CABOS PATIO L01E,1843,10,MD2B54DX9TCL87315,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS GDL,MACROPAY GDL FIESTA ARBOLEDAS L1,1536,10,MD2B54DX5TCL87389,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS GDL,MACROPAY GDL MOTOS PASEO ALCALDE,1919,10,MD2B54DX1TCK82820,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS GDL,MACROPAY GDL PLAZA INDEPENDENCIA L1-5,1435,10,MD2B54DX1TCL87311,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS MID,MACROPAY HALACHO CALLE 20,1049,10,MD2B54DX0TCK82775,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS SALTILLO,MACROPAY MTY CENTRO CUAUHTEMOC L131,1560,10,MD2B54DX5TCL87330,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS SALTILLO,MACROPAY REYNOSA PLAZA REAL LD006,1581,10,MD2B54DX2TCL87317,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS SAN LUIS,MACROPAY AGUASCALIENTES V ASUNCION,1857,10,MD2B54DX4TCL87335,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS SAN LUIS,MACROPAY FRESNILLO CENTRO,1886,10,MD2B54DX7TCL87331,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS SAN LUIS,MACROPAY IRAPUATO FRAGARIA LB05,1530,10,MD2B54DX2TCK82812,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS SAN LUIS,MACROPAY SAN LUIS DE LA PAZ CENTRO,1855,10,MD2B54DX9TCL87332,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS TAB PXGL,MACROPAY MACUSPANA MIGUEL H 332,1094,10,MD2B54DXXTCK82766,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS TAB PXGL,MACROPAY MACUSPANA MOTOS,1901,10,MD2B54DX1TCK82803,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",STREET,CEDIS TAB PXGL,MACROPAY MACUSPANA MOTOS,1901,10,MD2B54DX6TCL87336,1,$35615.33,0,$0,0,0
