Proveedor,Texto breve material,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS GDL,MACROPAY GDL FIESTA ARBOLEDAS L1,1536,10,MD2B54DX5TCL87389,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS GDL,MACROPAY GDL MOTOS PASEO ALCALDE,1919,10,MD2B54DX1TCK82820,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS GDL,MACROPAY GDL PLAZA INDEPENDENCIA L1-5,1435,10,MD2B54DX1TCL87311,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS MID,MACROPAY CHT MOTOS OTHON,1738,10,MD2B54DX9TCK82774,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS MID,MACROPAY MID MACROPLAZA SUPER,1014,10,MD2B54DX1TCK82770,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS SALTILLO,CEDIS SALTILLO,29,140,MD2B54DX2TCL87317,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS SALTILLO,MACROPAY MTY CENTRO CUAUHTEMOC L131,1560,10,MD2B54DX5TCL87330,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS SAN LUIS,MACROPAY AGUASCALIENTES V ASUNCION,1857,10,MD2B54DX4TCL87335,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS SAN LUIS,MACROPAY FRESNILLO CENTRO,1886,10,MD2B54DX7TCL87331,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS SAN LUIS,MACROPAY IRAPUATO FRAGARIA LB05,1530,10,MD2B54DX2TCL87334,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS SAN LUIS,MACROPAY SAN LUIS DE LA PAZ CENTRO,1855,10,MD2B54DX9TCL87332,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS TAB PXGL,MACROPAY JUAN RODRIGUEZ VER CENTRO,1860,10,MD2B54DX1TCK82767,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS TAB PXGL,MACROPAY JUCHITAN 16 DE SEPTIEMBRE,1146,10,MD2B54DX3TCK82804,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS TAB PXGL,MACROPAY MACUSPANA MIGUEL H 332,1094,10,MD2B54DXXTCK82766,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS TAB PXGL,MACROPAY MACUSPANA MOTOS,1901,10,MD2B54DX6TCL87336,1,$35615.33,0,$0,0,0
